Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
MANA,NA,MANA 1,MANA-0030,Forest,2016,6/15/2016,8:47,8:57,Matt Sileo,2,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,23.20000076,64.59999847,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
MANA,NA,MANA 1,MANA-0030,Forest,2016,6/15/2016,8:47,8:57,Matt Sileo,2,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Blue Jay,Cyanocitta cristata,179680,86252,BLJA,FALSE,FALSE,23.20000076,64.59999847,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
MANA,NA,MANA 1,MANA-0030,Forest,2016,6/15/2016,8:47,8:57,Matt Sileo,2,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,American Goldfinch,Spinus tristis,179236,95300,AMGO,FALSE,FALSE,23.20000076,64.59999847,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
MANA,NA,MANA 1,MANA-0030,Forest,2016,6/15/2016,8:47,8:57,Matt Sileo,2,2.5 - 5 min,Visualization,,TRUE,Undetermined,American Goldfinch,Spinus tristis,179236,95300,AMGO,FALSE,FALSE,23.20000076,64.59999847,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
MANA,NA,MANA 1,MANA-0030,Forest,2016,6/15/2016,8:47,8:57,Matt Sileo,2,2.5 - 5 min,Visualization,,TRUE,Undetermined,Barn Swallow,Hirundo rustica,178448,87409,BARS,FALSE,FALSE,23.20000076,64.59999847,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
MANA,NA,MANA 1,MANA-0030,Forest,2016,6/15/2016,8:47,8:57,Matt Sileo,2,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Blue-gray Gnatcatcher,Polioptila caerulea,179853,88038,BGGN,FALSE,FALSE,23.20000076,64.59999847,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
MANA,NA,MANA 1,MANA-0030,Forest,2016,6/15/2016,8:47,8:57,Matt Sileo,2,2.5 - 5 min,Calling,<= 50 Meters,FALSE,Undetermined,Downy Woodpecker,Picoides pubescens,178259,84936,DOWO,FALSE,TRUE,23.20000076,64.59999847,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
MANA,NA,MANA 1,MANA-0030,Forest,2016,6/15/2016,8:47,8:57,Matt Sileo,2,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,23.20000076,64.59999847,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
MANA,NA,MANA 1,MANA-0030,Forest,2016,6/15/2016,8:47,8:57,Matt Sileo,2,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Red-winged Blackbird,Agelaius phoeniceus,179045,93613,RWBL,FALSE,FALSE,23.20000076,64.59999847,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
MANA,NA,MANA 1,MANA-0030,Forest,2016,6/15/2016,8:47,8:57,Matt Sileo,2,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Male,Wood Thrush,Hylocichla mustelina,179777,87156,WOTH,TRUE,TRUE,23.20000076,64.59999847,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
